




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (3113)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (expected)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (over/under)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (fold Enrichment)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (raw P-value)	H3K4me3_A549.intersect_with_DeepZ.genes_uniq.txt (FDR)
macromolecule biosynthetic process (GO:0009059)	1680	311	253.94	+	1.22	7.65E-04	5.00E-02
heart development (GO:0007507)	535	115	80.87	+	1.42	7.68E-04	4.99E-02
opsonization (GO:0008228)	72	1	10.88	-	.09	7.36E-04	4.83E-02
cell part morphogenesis (GO:0032990)	526	114	79.51	+	1.43	6.93E-04	4.58E-02
regulation of cytoskeleton organization (GO:0051493)	526	114	79.51	+	1.43	6.93E-04	4.56E-02
development of primary female sexual characteristics (GO:0046545)	93	30	14.06	+	2.13	6.74E-04	4.47E-02
negative regulation of cell differentiation (GO:0045596)	644	135	97.34	+	1.39	6.61E-04	4.41E-02
negative regulation of phosphorylation (GO:0042326)	395	90	59.71	+	1.51	6.51E-04	4.36E-02
positive regulation of cell development (GO:0010720)	300	72	45.35	+	1.59	6.33E-04	4.28E-02
chromosome organization (GO:0051276)	1064	208	160.83	+	1.29	6.35E-04	4.27E-02
pattern specification process (GO:0007389)	426	96	64.39	+	1.49	6.25E-04	4.24E-02
positive regulation of molecular function (GO:0044093)	1618	302	244.57	+	1.23	6.21E-04	4.23E-02
immune response-regulating signaling pathway (GO:0002764)	495	45	74.82	-	.60	6.06E-04	4.15E-02
response to biotic stimulus (GO:0009607)	1547	181	233.83	-	.77	5.74E-04	3.94E-02
heterocycle metabolic process (GO:0046483)	2891	511	436.98	+	1.17	5.45E-04	3.76E-02
female gonad development (GO:0008585)	88	29	13.30	+	2.18	5.35E-04	3.71E-02
protein phosphorylation (GO:0006468)	685	143	103.54	+	1.38	5.32E-04	3.70E-02
nucleobase-containing compound metabolic process (GO:0006139)	2705	481	408.87	+	1.18	5.21E-04	3.65E-02
regulation of cell development (GO:0060284)	500	110	75.58	+	1.46	5.15E-04	3.62E-02
angiogenesis (GO:0001525)	318	76	48.07	+	1.58	5.12E-04	3.61E-02
cellular response to stress (GO:0033554)	1741	323	263.16	+	1.23	5.00E-04	3.55E-02
cellular component morphogenesis (GO:0032989)	611	130	92.35	+	1.41	4.86E-04	3.46E-02
negative regulation of multicellular organismal process (GO:0051241)	1014	201	153.27	+	1.31	4.75E-04	3.40E-02
immunoglobulin production (GO:0002377)	138	6	20.86	-	.29	4.69E-04	3.37E-02
coronary vasculature development (GO:0060976)	44	19	6.65	+	2.86	4.59E-04	3.31E-02
regulation of protein kinase activity (GO:0045859)	802	164	121.22	+	1.35	4.54E-04	3.30E-02
peptidyl-serine modification (GO:0018209)	209	55	31.59	+	1.74	4.55E-04	3.30E-02
aromatic compound biosynthetic process (GO:0019438)	1060	209	160.22	+	1.30	4.51E-04	3.30E-02
heterocycle biosynthetic process (GO:0018130)	1049	207	158.56	+	1.31	4.26E-04	3.13E-02
